"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"21:00:00 06-May-2018",42272.28,42262.16,42262.16,,1314.81,1314.50,1314.50,
"20:00:00 06-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"19:00:00 06-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"18:00:00 06-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"17:00:00 06-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"16:00:00 06-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"15:00:00 06-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"14:00:00 06-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"13:00:00 06-May-2018",42289.24,42262.16,42262.16,,1315.34,1314.50,1314.50,
"12:00:00 06-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"11:00:00 06-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"10:00:00 06-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"09:00:00 06-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"08:00:00 06-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"07:00:00 06-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"06:00:00 06-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"05:00:00 06-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"04:00:00 06-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"03:00:00 06-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"02:00:00 06-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"01:00:00 06-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"00:00:00 06-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"23:00:00 05-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"22:00:00 05-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"21:00:00 05-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"20:00:00 05-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"19:00:00 05-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"18:00:00 05-May-2018",42286.11,42262.16,42262.16,,1315.25,1314.50,1314.50,
"17:00:00 05-May-2018",42286.11,42262.16,42286.11,,1315.25,1314.50,1315.25,
"16:00:00 05-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"15:00:00 05-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"14:00:00 05-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"13:00:00 05-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"12:00:00 05-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"11:00:00 05-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"10:00:00 05-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"09:00:00 05-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"08:00:00 05-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"07:00:00 05-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"06:00:00 05-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"05:00:00 05-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"04:00:00 05-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"03:00:00 05-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"02:00:00 05-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"01:00:00 05-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"00:00:00 05-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"23:00:00 04-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"22:00:00 04-May-2018",42262.16,42262.16,42262.16,,1314.50,1314.50,1314.50,
"21:00:00 04-May-2018",42284.58,42262.16,42283.78,,1315.20,1314.50,1315.17,
"20:00:00 04-May-2018",42284.18,42247.05,42283.78,,1315.19,1314.03,1315.17,
"19:00:00 04-May-2018",42267.14,42236.03,42248.73,,1314.66,1313.69,1314.08,
"18:00:00 04-May-2018",42277.99,42238.36,42266.98,,1314.99,1313.76,1314.65,
"17:00:00 04-May-2018",42260.55,42215.38,42247.29,,1314.45,1313.05,1314.04,
"16:00:00 04-May-2018",42238.93,42141.83,42230.33,,1313.78,1310.76,1313.51,
"15:00:00 04-May-2018",42174.71,42117.88,42167.31,,1311.78,1310.01,1311.55,
"14:00:00 04-May-2018",42232.26,42111.37,42152.76,,1313.57,1309.81,1311.10,
"13:00:00 04-May-2018",42229.68,42066.36,42113.62,,1313.49,1308.41,1309.88,
"12:00:00 04-May-2018",42281.37,42114.58,42225.99,,1315.10,1309.91,1313.38,
"11:00:00 04-May-2018",42180.01,42122.86,42164.82,,1311.94,1310.17,1311.47,
"10:00:00 04-May-2018",42148.83,42094.89,42146.65,,1310.98,1309.30,1310.91,
"09:00:00 04-May-2018",42111.45,42077.69,42097.30,,1309.81,1308.76,1309.37,
"08:00:00 04-May-2018",42152.28,42082.35,42082.35,,1311.08,1308.91,1308.91,
"07:00:00 04-May-2018",42163.13,42115.47,42130.18,,1311.42,1309.94,1310.40,
"06:00:00 04-May-2018",42211.04,42161.12,42163.13,,1312.91,1311.36,1311.42,
"05:00:00 04-May-2018",42237.40,42198.98,42211.04,,1313.73,1312.53,1312.91,
"04:00:00 04-May-2018",42240.78,42206.86,42207.90,,1313.84,1312.78,1312.81,
"03:00:00 04-May-2018",42258.70,42223.33,42233.94,,1314.39,1313.29,1313.62,
"02:00:00 04-May-2018",42260.79,42226.71,42238.12,,1314.46,1313.40,1313.75,
"01:00:00 04-May-2018",42249.46,42177.12,42243.91,,1314.11,1311.86,1313.93,
"00:00:00 04-May-2018",42223.33,42162.09,42186.12,,1313.29,1311.39,1312.14,
"23:00:00 03-May-2018",42235.39,42196.65,42211.68,,1313.67,1312.46,1312.93,
"22:00:00 03-May-2018",42220.28,42183.15,42207.66,,1313.20,1312.04,1312.80,
"21:00:00 03-May-2018",42187.33,42183.71,42183.71,,1312.17,1312.06,1312.06,
"20:00:00 03-May-2018",42198.18,42161.52,42187.33,,1312.51,1311.37,1312.17,
"19:00:00 03-May-2018",42251.31,42168.12,42168.12,,1314.16,1311.58,1311.58,
"18:00:00 03-May-2018",42280.96,42224.86,42247.21,,1315.08,1313.34,1314.04,
"17:00:00 03-May-2018",42237.88,42147.86,42225.83,,1313.74,1310.94,1313.37,
"16:00:00 03-May-2018",42244.88,42186.12,42203.00,,1313.96,1312.14,1312.66,
"15:00:00 03-May-2018",42265.21,42213.53,42240.21,,1314.59,1312.99,1313.82,
"14:00:00 03-May-2018",42314.40,42207.10,42232.98,,1316.12,1312.79,1313.59,
"13:00:00 03-May-2018",42298.57,42241.82,42280.80,,1315.63,1313.87,1315.08,
"12:00:00 03-May-2018",42374.36,42279.04,42297.68,,1317.99,1315.03,1315.60,
"11:00:00 03-May-2018",42371.71,42164.66,42370.99,,1317.91,1311.47,1317.89,
"10:00:00 03-May-2018",42218.51,42166.67,42174.95,,1313.14,1311.53,1311.79,
"09:00:00 03-May-2018",42222.85,42111.85,42188.05,,1313.28,1309.82,1312.20,
"08:00:00 03-May-2018",42159.68,42067.16,42135.08,,1311.31,1308.43,1310.55,
"07:00:00 03-May-2018",42120.69,42010.01,42094.73,,1310.10,1306.66,1309.29,
"06:00:00 03-May-2018",42130.82,42063.14,42086.93,,1310.41,1308.31,1309.05,
"05:00:00 03-May-2018",42126.32,42083.16,42100.76,,1310.28,1308.93,1309.48,
"04:00:00 03-May-2018",42109.36,42072.71,42105.34,,1309.75,1308.61,1309.62,
"03:00:00 03-May-2018",42105.42,42074.56,42078.01,,1309.62,1308.67,1308.77,
"02:00:00 03-May-2018",42114.83,42061.54,42078.74,,1309.92,1308.26,1308.80,
"01:00:00 03-May-2018",42127.28,42036.46,42102.05,,1310.30,1307.48,1309.52,
"00:00:00 03-May-2018",42065.55,41977.14,42062.82,,1308.38,1305.64,1308.30,
"23:00:00 02-May-2018",42005.19,41974.01,41989.20,,1306.51,1305.54,1306.01,
"22:00:00 02-May-2018",42001.65,41950.62,41993.14,,1306.40,1304.81,1306.13,
"21:00:00 02-May-2018",41958.49,41940.81,41955.44,,1305.05,1304.51,1304.96,
"20:00:00 02-May-2018",41975.45,41935.10,41953.99,,1305.58,1304.33,1304.91,
"19:00:00 02-May-2018",42116.11,41928.35,41944.91,,1309.96,1304.12,1304.63,
"18:00:00 02-May-2018",42216.42,41984.86,42116.03,,1313.08,1305.88,1309.95,
"17:00:00 02-May-2018",42001.74,41941.61,41992.97,,1306.40,1304.53,1306.13,
"16:00:00 02-May-2018",42028.82,41961.55,41969.26,,1307.24,1305.15,1305.39,
"15:00:00 02-May-2018",42027.94,41987.51,42015.24,,1307.22,1305.96,1306.82,
"14:00:00 02-May-2018",41990.16,41931.89,41987.51,,1306.04,1304.23,1305.96,
"13:00:00 02-May-2018",42088.06,41935.91,41959.78,,1309.09,1304.35,1305.10,
"12:00:00 02-May-2018",42136.21,42054.38,42079.38,,1310.58,1308.04,1308.82,
"11:00:00 02-May-2018",42134.36,42087.50,42098.67,,1310.53,1309.07,1309.42,
"10:00:00 02-May-2018",42150.75,42110.97,42119.73,,1311.03,1309.80,1310.07,
"09:00:00 02-May-2018",42156.54,42100.36,42137.89,,1311.21,1309.47,1310.63,
"08:00:00 02-May-2018",42130.98,42082.67,42121.26,,1310.42,1308.92,1310.12,
"07:00:00 02-May-2018",42168.60,42090.63,42118.60,,1311.59,1309.16,1310.03,
"06:00:00 02-May-2018",42134.20,42046.51,42118.60,,1310.52,1307.79,1310.03,
"05:00:00 02-May-2018",42126.00,42073.27,42075.04,,1310.27,1308.62,1308.68,
"04:00:00 02-May-2018",42148.66,42123.10,42125.84,,1310.97,1310.17,1310.26,
"03:00:00 02-May-2018",42178.32,42102.93,42144.40,,1311.89,1309.55,1310.84,
"02:00:00 02-May-2018",42123.67,42092.96,42103.33,,1310.19,1309.24,1309.56,
